City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,jibou,47.2667,23.25,29.62,39,1,0.59,RO,1689426462
296,kurumkan,54.3,110.3,18.56,73,10,2.0,RU,1689426462
297,udachny,66.4167,112.4,9.9,48,99,4.67,RU,1689426462
298,lompoc,34.6391,-120.4579,13.08,97,75,0.0,US,1689426462
299,algeciras,36.1333,-5.4505,28.82,54,20,5.14,ES,1689426463
300,hirara,24.8,125.2833,29.3,82,0,9.12,JP,1689426463
301,broken hill,-31.95,141.4333,9.9,84,0,7.05,AU,1689426463
302,hithadhoo,-0.6,73.0833,28.58,71,4,0.96,MV,1689426463
303,aasiaat,68.7098,-52.8699,3.42,96,99,2.73,GL,1689426463
304,brisas de zicatela,15.8369,-97.0419,25.29,78,40,3.09,MX,1689426464
305,alice town,25.7167,-79.3,29.25,73,70,3.3,BS,1689426464
306,luanda,-8.8368,13.2343,23.0,73,75,4.12,AO,1689426464
307,robertsport,6.7533,-11.3686,26.92,75,5,3.08,LR,1689426464
308,ambon,-3.6954,128.1814,27.15,95,40,2.57,ID,1689426465
309,kavalerovo,44.2661,135.0572,15.45,98,100,1.0,RU,1689426465
310,sotkamo,64.1333,28.4167,22.01,41,36,2.05,FI,1689426465
311,akjoujt,19.6969,-14.4164,37.27,28,5,4.06,MR,1689426465
312,renfrew,55.872,-4.3925,21.38,77,75,6.17,GB,1689426466
313,klaksvik,62.2266,-6.589,15.51,93,100,10.51,FO,1689426466
314,zliten,32.4674,14.5687,32.67,37,0,6.44,LY,1689426466
315,zychlin,52.244,19.6261,32.42,27,19,4.36,PL,1689426466
316,saldanha,-33.0117,17.9442,15.29,73,100,5.68,ZA,1689426466
317,parry sound,45.3501,-80.033,18.98,94,100,2.75,CA,1689426449
318,tuapse,44.1125,39.0742,23.65,70,16,2.8,RU,1689426467
319,coahuayana de hidalgo,18.7,-103.6583,25.49,89,44,1.48,MX,1689426467
320,rodolfo sanchez taboada,31.7167,-116.5667,18.39,81,95,0.89,MX,1689426467
321,bodaybo,57.8506,114.1933,14.57,71,73,1.7,RU,1689426467
322,nuevo casas grandes,30.4167,-107.9167,22.77,56,26,2.01,MX,1689426468
323,saipan,15.1355,145.701,28.39,100,40,5.66,MP,1689426340
324,soke,13.598,-5.9386,28.14,57,100,1.75,ML,1689426468
325,schuyler,42.4167,-76.883,25.13,88,97,1.34,US,1689426468
326,valence,39.4697,-0.3774,33.41,64,0,5.14,ES,1689426468
327,beyneu,45.3167,55.2,34.78,15,0,4.16,KZ,1689426469
328,abbeville,50.1,1.8333,19.71,56,100,7.96,FR,1689426469
329,miri,4.4148,114.0089,25.83,89,100,3.6,MY,1689426469
330,badger,64.8,-147.5333,13.62,92,75,1.54,US,1689426469
331,salekhard,66.53,66.6019,23.04,39,22,5.28,RU,1689426470
332,howard springs,-12.497,131.047,22.95,68,1,1.16,AU,1689426470
333,commack,40.8429,-73.2929,27.68,88,100,2.06,US,1689426470
334,calca,-13.3333,-71.95,9.64,66,0,1.65,PE,1689426470
335,calvinia,-31.4707,19.776,15.71,28,14,6.13,ZA,1689426470
336,barra da estiva,-13.6261,-41.3269,22.13,54,24,3.86,BR,1689426471
337,nizhneangarsk,55.7833,109.55,12.01,91,35,1.26,RU,1689426471
338,emerald,-23.5333,148.1667,18.54,64,100,2.81,AU,1689426471
339,vilyuchinsk,52.9306,158.4028,10.58,95,11,0.58,RU,1689426472
340,colby,39.3958,-101.0524,19.75,87,100,3.6,US,1689426472
341,pijijiapan,15.7011,-93.23,26.25,75,11,2.25,MX,1689426472
342,manassas,38.751,-77.4753,26.65,86,75,2.06,US,1689425835
343,khorixas,-20.3667,14.9667,25.58,9,0,2.35,NA,1689426473
344,fale old settlement,-9.3852,-171.2468,28.28,72,13,6.44,TK,1689426473
345,hilo,19.7297,-155.09,21.25,91,20,1.54,US,1689426474
346,nar'yan-mar,67.6713,53.087,23.87,39,16,1.9,RU,1689426474
347,tra vinh,9.9347,106.3453,27.0,76,100,4.2,VN,1689426441
348,inarajan village,13.2736,144.7484,28.54,89,100,7.05,GU,1689426474
349,kenai,60.5544,-151.2583,13.05,97,100,4.12,US,1689426475
350,kapa'a,22.0752,-159.319,24.18,81,40,3.09,US,1689426475
351,piti village,13.4626,144.6933,28.49,85,0,4.12,GU,1689426475
352,lhokseumawe,5.1801,97.1507,27.63,73,95,0.66,ID,1689426475
353,naze,28.3667,129.4833,26.82,84,39,7.06,JP,1689426476
354,kone,-21.0595,164.8658,19.17,62,25,3.39,NC,1689426476
355,alice springs,-23.7,133.8833,12.75,67,0,2.06,AU,1689426476
356,shingu,33.7333,135.9833,24.5,95,99,2.69,JP,1689426476
357,morehead city,34.7229,-76.726,30.57,85,0,4.12,US,1689426348
358,broome,42.2506,-75.833,24.08,84,0,3.09,US,1689426477
359,homestead meadows north,31.8496,-106.1729,30.71,36,75,6.17,US,1689426227
360,lagoa,39.05,-27.9833,19.9,78,84,2.94,PT,1689426477
361,joao camara,-5.5375,-35.8197,30.79,46,3,5.66,BR,1689426477
362,arraial do cabo,-22.9661,-42.0278,20.92,68,20,2.06,BR,1689426478
363,sao vicente,-23.9631,-46.3919,19.1,61,0,1.14,BR,1689426478
